NumeroProcurado,ComparacoesLista,ComparacoesBST
11840,8323,18
5527,5503,15
22288,6673,18
23320,6958,14
18028,254,24
18153,9206,17
26221,8326,15
18559,4253,21
500,3189,8
10707,3332,21
4732,9448,9
31466,1385,16
25108,892,19
5656,9177,16
6503,2432,20
22606,2358,15
25492,2314,16
6070,4471,17
30202,7998,14
3979,9409,9
29215,8561,18
25698,7735,7
1797,3590,14
14847,4628,18
17946,6955,18
10524,3704,18
17968,4041,18
10963,3399,18
22027,4663,19
24076,5579,19
32042,3092,18
4348,9159,11
3947,2903,15
8412,7248,12
4717,8570,11
30163,9113,15
32507,5271,17
12694,8479,20
30554,1233,21
19453,9947,7
29953,1389,21
17233,6230,21
16965,5453,24
29226,1503,24
25931,7540,14
19592,5078,13
3240,3439,15
15744,7879,21
32737,5031,16
5099,9901,9
12519,6252,23
1959,7504,16
18092,7967,20
16874,5521,19
31318,7613,16
24686,9775,12
5497,539,17
2485,3058,18
5997,5626,20
30092,9804,11
12695,6770,22
15917,9373,17
4118,6534,14
30597,4577,13
21753,8171,16
14308,3840,18
3669,9658,9
28035,9745,11
15420,7959,14
1779,3281,12
14026,1473,22
26193,4201,19
7605,7316,14
19405,3581,15
14750,6903,15
14275,3977,18
30518,1057,23
13354,2402,19
5232,241,15
14694,911,20
24059,2225,17
1261,252,20
1551,7452,11
25667,7016,11
28661,8512,10
31937,5408,15
20591,7077,15
27634,5062,19
8631,9399,20
6329,5659,23
12357,9628,16
15207,9088,13
7308,3696,16
8377,489,17
30492,1431,20
10153,6429,16
28325,7896,11
26567,4085,16
28294,2552,12
14387,7727,15
378,7352,11
18779,2163,16
15319,9039,13
20577,5456,16
18093,6834,21
12916,7903,18
12315,9118,18
19144,1886,16
26392,8476,14
14768,7396,19
8877,9743,15
12068,854,22
19374,3663,14
32750,8029,14
17872,2502,19
19050,8113,10
28307,9805,7
12550,381,24
21754,4838,17
14909,2034,19
9875,9013,15
11986,7500,21
5376,8805,13
14249,4780,18
29966,6662,19
411,456,15
8131,1168,18
5429,9140,13
13729,3381,16
31177,3112,19
176,3676,13
3666,8986,12
11623,6400,18
464,8079,9
25027,9650,10
17127,55,26
31922,3342,15
1382,9734,8
25470,7832,11
16270,3670,25
30196,3517,19
16862,710,21
27153,4576,18
8096,7155,15
15767,4954,23
13167,8216,15
14516,1650,21
20825,788,13
11279,5374,19
20485,590,20
22993,2249,20
20874,5674,13
31356,1773,18
31529,6430,15
29102,8030,14
28315,231,10
20757,9119,8
10897,6274,17
24340,3159,19
17543,573,25
14485,9003,14
30651,6833,17
14953,9870,11
30872,347,18
1029,4743,17
1306,2843,14
15139,7522,17
31743,4390,12
12686,8849,16
18903,7624,16
17217,2591,25
22825,5898,20
24802,9355,10
28743,4623,18
5036,5868,16
2356,4398,13
5116,9241,11
13093,2117,16
27987,5560,20
17609,3161,25
4117,3739,17
13887,3356,19
32567,4692,16
21279,9943,9
7116,6537,20
18400,7239,16
6576,8128,16
15441,6921,16
8918,3969,20
24530,6575,16
437,7782,12
985,8641,14
22352,2210,18
28878,1944,15
6702,2855,14
18365,8457,12
29030,1479,14
17359,9281,19
27737,903,17
27411,2758,23
512,5667,10
25884,6446,12
3461,1657,18
7593,2193,18
20867,5855,13
26056,1350,18
17722,8779,14
10461,7216,15
21592,3813,18
18241,7356,18
16280,7009,24
18893,3174,18
21999,107,19
31953,3166,15
1181,513,19
5960,7776,21
10451,9071,12
7917,9344,14
1451,3730,12
22231,1691,17
19615,8037,11
11014,4391,18
21028,9444,16
15567,9158,14
10805,9058,15
1630,5925,13
8032,1997,18
14714,2556,21
27049,7926,16
17591,3543,22
8962,9305,17
10398,6735,19
17267,1947,24
5982,1856,21
1278,9872,8
26411,7075,14
21914,6801,20
23096,5812,18
30983,6966,14
188,6448,10
25938,5190,15
14753,1269,19
17963,9188,15
26837,4134,18
19661,839,10
12034,8910,15
32253,7623,13
16923,6622,23
32213,4376,14
23133,177,19
8160,2652,19
19818,1204,14
4364,7603,13
682,8226,6
23731,1049,16
21623,5223,16
5833,7602,16
14737,9808,12
4018,6010,13
5390,13,17
20489,1020,19
1561,7255,12
10788,3505,18
11352,1335,24
21428,3378,10
18785,3062,16
1938,6956,18
5111,7657,12
25904,3736,11
8195,9026,14
29689,5347,16
22081,9143,14
17593,8500,20
6734,5816,13
14760,1865,19
31921,4702,14
1678,7286,15
20763,3875,12
2130,4126,18
28368,7368,9
8922,4363,19
21763,2418,18
23999,9286,11
15631,7485,19
5077,1170,15
23578,2679,16
12150,2301,16
14819,602,25
21018,43,21
929,5409,17
19527,1253,11
3215,3556,17
19755,995,15
27737,903,17
23663,7238,17
1456,8857,7
3584,4256,20
27301,4521,21
27954,275,22
10878,8107,14
13035,3822,20
4572,7478,11
5692,7340,16
25014,4092,17
4572,7478,11
23791,2669,19
21068,7992,15
30235,6136,17
3801,7489,14
11188,4053,20
16107,7695,25
7303,2646,17
1724,2945,18
15354,7836,15
2847,6745,11
24569,685,17
7161,8395,17
6799,5056,13
32684,3096,18
14235,9111,14
6797,3348,15
16763,8095,20
30627,7271,15
23504,2967,18
4439,3697,16
27980,448,24
1818,8272,13
25506,2266,14
13704,6413,15
862,9774,10
8599,7614,21
15629,9024,18
9173,4744,19
26262,6521,12
18145,3160,20
11946,6295,20
22995,629,22
23699,8123,15
25408,2633,16
8375,5052,16
10965,640,19
18255,9835,11
16378,1728,25
2322,8529,11
23449,2642,19
17616,8980,19
16997,9179,19
23940,8013,16
21676,5621,19
29188,9828,9
28682,131,14
2227,9703,7
26821,3095,17
23821,8484,15
3195,4646,16
13731,8929,15
18250,9967,7
3553,714,20
19864,1175,20
14039,6276,21
30414,7520,16
29014,7616,13
21842,3334,26
11502,2528,22
21150,9809,12
10303,1443,15
3963,447,15
23965,5265,16
20335,9528,12
16735,5420,20
6096,8501,14
22770,3425,21
29596,3691,18
10873,6015,14
23699,8123,15
31122,1136,18
22313,3510,19
19287,3653,14
31053,3926,15
15965,7572,21
8806,6954,22
2814,3098,11
27867,8597,14
25928,4145,16
2019,9625,9
27579,3511,22
28075,9916,10
63,4711,15
9754,4564,14
14887,6461,16
6926,3475,18
30413,7343,17
29675,8322,13
8965,390,18
22352,2210,18
31398,1636,18
16885,7311,19
10320,236,20
2339,1946,15
11761,6722,19
9690,4361,13
26390,9655,11
20505,7650,18
27112,3055,19
9385,4745,20
16191,4552,25
15348,2807,17
31543,4492,18
9638,6980,15
16215,8742,21
13132,3201,19
20881,4523,14
26103,4880,15
17682,908,21
3785,7718,14
16940,4878,23
31382,4661,16
19374,3663,14
22648,4495,23
13069,3411,16
15145,1705,23
13997,9617,13
615,3965,5
16313,5362,27
7693,9866,10
19448,3992,15
25687,3898,13
2207,7491,13
15157,5003,21
4,6988,10
27823,591,17
2939,9824,10
22765,2846,22
30819,6707,13
26643,5322,15
11317,3871,22
12601,1363,34
21617,4573,17
25913,204,13
7570,9900,9
9341,9253,15
12464,6383,21
24248,1332,21
7837,2153,16
16297,1343,27
9020,6464,23
20832,9678,6
27609,6085,20
6525,225,19
3264,7446,13
923,9145,13
12580,6253,27
16365,2294,24
18152,6510,18
21233,9931,10
12055,7509,16
10897,6274,17
8620,5102,21
4152,166,19
27411,2758,23
29818,9020,15
6122,5723,16
1994,584,17
30173,3782,17
23556,8543,18
1462,474,10
27948,6100,19
19191,5624,15
10032,561,17
11242,5143,18
28330,8770,9
18964,9337,13
27253,9600,12
21924,7800,19
15668,5832,22
11910,1878,21
1181,513,19
11159,7376,19
28083,693,16
26939,926,22
29756,5878,20
245,4146,11
684,2274,9
18762,9820,10
7908,6691,17
22176,636,22
11422,8231,18
14323,8865,14
25831,272,16
7679,1184,20
30253,3199,18
28796,6532,13
20179,6027,17
19802,3169,15
31611,2924,14
17829,5705,21
215,5318,10
23365,5634,14
14564,2216,24
21105,6195,18
17045,3274,25
22923,4191,18
2287,9922,7
18007,4826,22
13011,8671,20
16219,9464,20
6155,8019,16
4260,2171,10
18415,476,21
7551,8418,13
1622,1012,16
28330,8770,9
14714,2556,21
15917,9373,17
30842,2704,14
24245,7752,18
9804,9175,14
31615,5427,14
15624,3144,19
6042,4558,20
1969,9356,14
28548,485,14
3506,4524,19
14149,4965,18
24610,1072,18
12080,4918,16
9419,4339,20
18806,2756,20
15936,2873,22
25860,3188,14
20849,783,15
1767,8823,11
820,2664,21
10607,2347,18
10025,9106,13
11946,6295,20
3041,9112,12
32081,1401,13
29018,9631,10
29156,6863,15
7875,8776,16
6723,1535,15
26716,6609,19
28511,6264,10
23260,8731,15
12435,6749,19
23804,8604,14
18484,7354,15
16496,1787,24
12549,5947,23
16803,1287,23
7963,3154,20
27129,9632,14
18936,4807,16
32699,6084,17
25785,9570,10
7230,8659,16
16314,6497,26
31653,7285,13
20678,9996,4
24195,8449,14
10847,9385,14
5976,6560,19
8652,1037,25
26306,8576,12
29614,4644,17
10072,8572,16
29639,953,20
15463,2179,16
29186,4417,11
20271,5587,15
11903,7915,19
8720,9647,17
32543,8607,13
608,4726,12
13570,7961,17
10478,3178,18
11903,7915,19
36,3023,13
28104,2986,16
13443,9415,15
16135,7195,26
4591,9466,10
32640,4967,17
26847,7506,17
7185,3964,18
8296,4705,17
21432,9987,7
17097,5515,22
15354,7836,15
18852,3787,17
8966,9771,14
30991,661,16
7918,2327,19
31517,6418,15
16510,9564,18
22302,4781,20
600,3282,13
31896,7991,12
4732,9448,9
11287,2202,20
25599,2874,17
8650,1847,25
25722,4342,14
18357,4007,15
17764,379,22
32295,1098,16
4994,5693,17
26768,6049,19
25404,6367,14
22409,9424,14
14605,7134,20
31159,242,18
29650,8573,16
15741,1291,25
17128,3749,24
25216,2458,15
8133,6862,16
10706,9323,15
6947,2911,17
17226,2289,23
22715,1566,23
828,1595,21
17190,3401,25
25031,5662,15
5219,9831,10
19315,2111,18
32114,9884,7
15449,7269,13
16794,7630,20
2264,6603,11
28803,6939,12
9629,3811,14
21149,1914,16
32357,7555,15
8586,8824,20
7451,2233,21
22122,7529,15
10173,8261,16
18186,7498,21
18167,9498,18
28877,5313,14
27702,615,22
25986,2112,17
29444,8069,19
25683,3879,14
14323,8865,14
14008,7763,17
26001,4274,15
24348,4883,15
4376,6520,14
12544,5934,24
5228,6317,14
31687,9182,13
3063,6959,17
2829,2876,13
22382,7140,18
5266,6033,14
28660,3039,12
27100,3910,21
23944,8721,13
11163,4222,24
20548,9377,12
21507,2026,18
4572,7478,11
7445,7467,17
23061,2272,23
32295,1098,16
21736,6924,17
22029,3442,21
2366,8944,10
22157,394,19
32324,9819,9
21265,9817,11
7429,2589,20
20209,5592,17
25508,8920,9
3403,2387,17
787,2788,14
10061,4250,21
19413,1344,16
6975,5732,17
